iter	Passed	Remaining
0	117	117857
1	119	59578
2	122	40804
3	127	31693
4	131	26074
5	134	22275
6	136	19370
7	138	17116
8	140	15520
9	142	14108
10	146	13178
11	149	12338
12	152	11557
13	154	10896
14	156	10286
15	159	9808
16	160	9293
17	162	8887
18	166	8577
19	167	8230
20	171	7977
21	173	7692
22	174	7416
23	175	7143
24	177	6926
25	179	6729
26	181	6546
27	184	6396
28	186	6228
29	187	6062
30	188	5906
31	190	5775
32	192	5644
33	194	5513
34	195	5400
35	197	5298
36	199	5186
37	200	5080
38	201	4976
39	203	4879
40	204	4783
41	205	4684
42	206	4596
43	207	4511
44	209	4440
45	210	4375
46	212	4303
47	213	4233
48	214	4164
49	215	4097
50	216	4033
51	217	3969
52	218	3906
53	219	3845
54	220	3787
55	221	3737
56	222	3688
57	224	3641
58	225	3593
59	226	3546
60	227	3505
61	228	3462
62	230	3421
63	230	3377
64	231	3336
65	233	3297
66	233	3257
67	235	3227
68	236	3196
69	238	3162
70	239	3133
71	240	3100
72	241	3066
73	242	3033
74	243	3002
75	244	2972
76	245	2941
77	246	2910
78	247	2882
79	248	2852
80	249	2825
81	250	2801
82	250	2773
83	252	2748
84	253	2724
85	254	2699
86	255	2676
87	256	2654
88	256	2630
89	257	2607
90	261	2609
91	262	2587
92	263	2565
93	264	2548
94	265	2529
95	266	2510
96	267	2491
97	268	2471
98	269	2452
99	270	2432
100	271	2413
101	272	2395
102	273	2377
103	273	2359
104	274	2342
105	275	2325
106	276	2309
107	277	2292
108	278	2277
109	279	2263
110	280	2248
111	281	2232
112	282	2217
113	283	2202
114	284	2187
115	285	2174
116	286	2158
117	287	2145
118	287	2131
119	288	2117
120	289	2103
121	290	2089
122	291	2076
123	292	2066
124	293	2056
125	294	2045
126	295	2032
127	296	2021
128	297	2009
129	298	1997
130	299	1986
131	301	1979
132	302	1972
133	303	1962
134	304	1950
135	305	1939
136	306	1928
137	307	1919
138	308	1911
139	309	1901
140	310	1892
141	311	1880
142	312	1870
143	313	1860
144	313	1851
145	314	1840
146	315	1830
147	316	1821
148	317	1811
149	318	1803
150	319	1795
151	320	1787
152	322	1784
153	323	1777
154	324	1770
155	325	1762
156	326	1754
157	327	1747
158	328	1738
159	329	1730
160	330	1720
161	331	1713
162	332	1705
163	333	1697
164	333	1689
165	334	1681
166	335	1675
167	337	1668
168	338	1662
169	339	1655
170	340	1648
171	340	1640
172	341	1633
173	342	1626
174	343	1618
175	344	1611
176	345	1604
177	345	1596
178	346	1590
179	347	1582
180	348	1575
181	348	1567
182	349	1562
183	351	1557
184	352	1552
185	353	1546
186	354	1539
187	355	1533
188	355	1526
189	356	1520
190	357	1513
191	358	1507
192	358	1500
193	359	1494
194	360	1488
195	361	1481
196	362	1475
197	362	1469
198	363	1463
199	364	1459
200	365	1454
201	367	1450
202	368	1445
203	368	1439
204	369	1433
205	370	1427
206	371	1421
207	372	1416
208	372	1410
209	373	1405
210	374	1399
211	375	1394
212	375	1389
213	376	1383
214	377	1378
215	378	1372
216	378	1367
217	380	1364
218	381	1359
219	382	1354
220	382	1349
221	383	1344
222	384	1339
223	385	1334
224	386	1329
225	386	1324
226	387	1320
227	388	1314
228	389	1310
229	389	1305
230	390	1300
231	391	1295
232	392	1290
233	392	1286
234	393	1281
235	394	1278
236	395	1274
237	396	1270
238	397	1266
239	398	1261
240	399	1256
241	399	1252
242	400	1248
243	401	1243
244	402	1239
245	403	1235
246	403	1231
247	404	1227
248	405	1223
249	406	1219
250	407	1215
251	408	1211
252	409	1207
253	410	1205
254	411	1201
255	412	1197
256	413	1194
257	413	1190
258	414	1186
259	415	1182
260	416	1178
261	417	1175
262	418	1173
263	419	1169
264	420	1165
265	420	1161
266	421	1157
267	422	1153
268	423	1150
269	424	1148
270	425	1145
271	426	1141
272	427	1138
273	428	1135
274	429	1131
275	430	1128
276	431	1125
277	432	1122
278	432	1118
279	433	1115
280	434	1112
281	435	1108
282	436	1104
283	437	1102
284	439	1102
285	440	1100
286	441	1097
287	442	1094
288	443	1091
289	444	1088
290	445	1085
291	446	1082
292	447	1079
293	448	1076
294	449	1073
295	450	1071
296	451	1069
297	453	1068
298	455	1066
299	456	1064
300	457	1062
301	458	1060
302	459	1057
303	460	1055
304	461	1052
305	463	1050
306	464	1048
307	465	1045
308	466	1043
309	467	1041
310	468	1038
311	469	1036
312	471	1033
313	472	1031
314	473	1028
315	474	1026
316	475	1023
317	476	1021
318	477	1019
319	479	1018
320	481	1017
321	482	1016
322	483	1013
323	485	1012
324	486	1009
325	487	1008
326	488	1005
327	489	1003
328	490	1000
329	491	998
330	492	995
331	493	993
332	495	992
333	496	990
334	498	989
335	500	988
336	501	986
337	502	983
338	503	981
339	504	979
340	505	977
341	506	974
342	507	972
343	508	970
344	510	969
345	511	967
346	512	965
347	514	963
348	514	960
349	515	958
350	516	955
351	517	953
352	518	951
353	519	948
354	520	946
355	521	944
356	523	943
357	524	941
358	526	939
